name,total_points,was_home,GW,strength,enemy_strength_ovr,enemy_attack_ovr,enemy_defence_ovr,bps_last5_mean,clean_sheets_last5_mean,clearances_blocks_interceptions_last5_mean,creativity_last5_mean,defensive_contribution_last5_mean,expected_goal_involvements_last5_mean,expected_goals_conceded_last5_mean,goals_conceded_last5_mean,goals_scored_last5_mean,ict_index_last5_mean,influence_last5_mean,recoveries_last5_mean,tackles_last5_mean,threat_last5_mean,yellow_cards_last5_mean
Aaron Hickey,8,1,13,3,1055,1010,1100,8.0,0.0,2.33,1.73,3.33,0.09,0.74,1.0,0.0,1.77,6.2,4.33,1.0,9.67,0.0
Aaron Hickey,6,1,16,3,1095,1080,1110,10.25,0.25,3.75,1.88,5.0,0.13,0.59,0.75,0.0,1.95,8.75,4.25,1.25,8.75,0.0
Aaron Hickey,2,0,20,3,1130,1130,1130,12.8,0.4,3.6,1.88,4.6,0.1,0.62,0.6,0.0,1.68,7.72,4.4,1.0,7.0,0.0
Aaron Wan-Bissaka,1,0,1,3,1145,1120,1170,13.75,0.5,4.25,1.9,5.5,0.12,0.52,0.5,0.0,1.98,8.9,4.25,1.25,8.75,0.0
Aaron Wan-Bissaka,0,1,2,3,1180,1140,1220,15.5,0.5,4.25,7.72,5.5,0.12,0.48,1.0,0.0,3.12,12.6,5.25,1.25,10.5,0.0
Aaron Wan-Bissaka,1,0,7,5,1375,1400,1350,10.25,0.5,4.5,12.18,5.25,0.1,1.07,2.0,0.0,2.97,13.7,4.25,0.75,3.5,0.0
Aaron Wan-Bissaka,1,0,9,3,1145,1100,1190,5.25,0.25,4.0,11.95,4.25,0.04,1.68,2.5,0.0,2.62,11.4,3.25,0.25,2.5,0.0
Aaron Wan-Bissaka,7,1,10,3,1160,1170,1150,0.5,0.0,4.25,15.9,4.75,0.05,1.88,3.0,0.0,3.22,13.6,2.25,0.5,2.5,0.0
Aaron Wan-Bissaka,3,1,11,3,1055,1010,1100,3.8,0.0,5.4,13.74,6.0,0.05,1.61,2.6,0.0,3.1,15.08,2.4,0.6,2.0,0.0
Aaron Wan-Bissaka,2,0,12,3,1220,1240,1200,2.6,0.0,6.8,9.2,7.6,0.03,1.68,2.4,0.0,2.48,14.64,1.6,0.8,0.8,0.0
Aaron Wan-Bissaka,1,1,13,4,1230,1170,1290,4.2,0.0,7.8,8.18,8.8,0.04,1.94,1.8,0.0,2.32,14.08,1.8,1.0,0.8,0.2
Aaron Wan-Bissaka,3,0,14,3,1205,1150,1260,6.0,0.0,7.6,9.56,8.8,0.04,1.67,1.8,0.0,2.56,15.16,2.4,1.2,0.8,0.2
Aaron Wan-Bissaka,4,0,15,3,1160,1110,1210,9.6,0.0,8.6,10.6,10.2,0.04,1.69,1.6,0.0,3.14,19.8,3.0,1.6,0.8,0.4
Aaron Wan-Bissaka,1,1,16,3,1145,1150,1140,9.0,0.0,8.4,18.82,10.0,0.05,1.96,1.6,0.0,4.12,21.0,2.8,1.6,1.2,0.4
Aaron Wan-Bissaka,4,0,22,3,1175,1150,1200,7.2,0.0,7.2,19.02,8.6,0.05,1.88,1.8,0.0,3.94,19.44,2.8,1.4,0.8,0.4
Aaron Wan-Bissaka,2,1,23,3,1100,1100,1100,9.8,0.0,7.2,23.58,9.0,0.06,1.36,1.6,0.0,4.8,23.48,2.4,1.8,0.8,0.2
Aaron Wan-Bissaka,7,0,24,3,1190,1160,1220,11.0,0.0,6.8,24.42,8.6,0.06,1.24,1.4,0.0,4.86,23.64,2.6,1.8,0.4,0.2
Abdukodir Khusanov,1,0,3,3,1160,1110,1210,8.25,0.0,6.25,24.8,7.75,0.06,1.16,1.5,0.0,4.6,20.65,2.25,1.5,0.5,0.0
Abdukodir Khusanov,8,1,4,3,1135,1100,1170,6.75,0.0,4.5,13.82,6.75,0.04,0.99,1.5,0.0,3.12,17.4,2.0,2.25,0.0,0.25
Abdukodir Khusanov,1,0,5,5,1375,1400,1350,15.0,0.25,6.25,13.6,8.75,0.04,1.2,0.75,0.0,3.4,20.45,2.75,2.5,0.0,0.25
Abdukodir Khusanov,2,1,21,3,1150,1090,1210,12.75,0.25,4.5,4.42,6.25,0.02,0.93,0.5,0.0,1.75,13.05,3.25,1.75,0.0,0.25
Abdukodir Khusanov,3,0,22,3,1205,1150,1260,13.75,0.25,4.5,2.02,6.5,0.01,1.05,0.5,0.0,1.58,13.65,4.0,2.0,0.0,0.25
Abdukodir Khusanov,6,1,23,3,1070,1050,1090,14.0,0.2,6.2,2.96,8.2,0.01,1.3,0.8,0.0,1.92,16.2,3.8,2.0,0.0,0.2
Abdukodir Khusanov,0,0,24,3,1175,1150,1200,17.8,0.4,6.6,4.86,8.2,0.01,1.18,0.6,0.0,2.14,16.52,4.0,1.6,0.0,0.0
Adam Smith,1,0,1,4,1265,1210,1320,15.5,0.25,5.75,5.55,7.25,0.02,1.1,0.75,0.0,2.12,15.65,3.75,1.5,0.0,0.0
Adam Smith,6,1,2,3,1070,1050,1090,15.0,0.25,7.0,7.98,8.75,0.04,1.54,1.5,0.0,2.65,17.5,3.5,1.75,1.0,0.0
Adam Smith,1,0,3,3,1175,1150,1200,17.0,0.5,6.75,8.1,8.0,0.03,1.36,1.25,0.0,2.4,14.95,2.0,1.25,1.0,0.0
Adam Smith,1,0,11,3,1185,1170,1200,13.75,0.5,3.5,6.45,4.25,0.03,0.79,0.75,0.0,1.58,8.35,1.25,0.75,1.0,0.0
Adam Smith,1,0,13,3,1145,1120,1170,7.75,0.25,2.5,3.5,2.75,0.02,0.64,0.75,0.0,0.9,4.45,0.75,0.25,1.0,0.0
Adam Smith,6,1,15,3,1180,1140,1220,6.0,0.2,2.4,3.3,2.8,0.02,0.75,1.2,0.0,0.92,4.72,0.6,0.4,1.2,0.0
Adam Smith,2,0,16,3,1205,1150,1260,10.2,0.4,1.6,1.28,2.2,0.0,0.52,0.6,0.0,0.58,3.84,1.0,0.6,0.8,0.0
Adam Smith,0,0,18,3,1175,1110,1240,4.4,0.2,2.0,2.82,2.6,0.0,1.08,1.4,0.0,1.14,7.16,1.2,0.6,1.6,0.2
Adam Smith,1,1,23,4,1230,1170,1290,3.2,0.2,2.4,2.8,3.0,0.0,1.39,1.8,0.0,1.28,7.68,1.6,0.6,2.4,0.2
Adam Smith,6,0,24,3,1085,1050,1120,3.0,0.2,3.6,2.98,4.2,0.0,1.57,2.2,0.0,1.52,9.92,2.4,0.6,2.4,0.2
Adam Wharton,3,0,1,3,1190,1160,1220,4.0,0.25,4.0,3.1,4.5,0.0,1.67,2.0,0.0,1.65,10.95,3.0,0.5,2.5,0.25
Adam Wharton,2,1,2,3,1100,1100,1100,1.75,0.25,3.5,8.57,4.5,0.02,1.84,2.0,0.0,2.33,12.65,3.0,0.0,2.0,0.25
Adam Wharton,1,0,3,3,1185,1170,1200,7.5,0.25,3.0,10.85,5.75,0.04,1.18,1.25,0.0,2.1,9.15,4.0,0.25,1.0,0.0
Adam Wharton,7,0,5,3,1075,1050,1100,10.75,0.25,2.5,12.32,6.5,0.04,0.98,0.75,0.0,2.15,9.3,4.75,0.25,0.0,0.0
Adam Wharton,3,1,6,4,1230,1170,1290,17.75,0.25,1.5,22.85,6.25,0.18,0.88,0.5,0.0,3.25,9.3,4.25,0.5,0.5,0.0
Adam Wharton,3,0,7,3,1130,1130,1130,18.4,0.4,1.4,27.94,6.2,0.24,0.91,0.4,0.0,3.92,10.04,4.2,0.6,1.4,0.0
Adam Wharton,2,1,8,3,1150,1100,1200,18.4,0.2,1.8,29.24,7.4,0.28,1.0,0.8,0.0,4.02,9.44,4.4,1.2,1.8,0.2
Adam Wharton,2,0,9,5,1375,1400,1350,16.8,0.2,1.6,31.7,7.2,0.35,1.27,1.2,0.0,4.46,10.52,4.2,1.4,2.6,0.2
Adam Wharton,3,1,11,3,1150,1090,1210,17.4,0.2,2.4,34.02,8.0,0.36,1.34,1.4,0.0,4.9,12.4,3.6,2.0,2.8,0.2
Adam Wharton,6,0,12,3,1085,1050,1120,13.0,0.4,2.4,26.68,8.0,0.27,1.3,1.2,0.0,4.04,11.32,3.6,2.0,2.6,0.2
Adam Wharton,4,1,13,3,1135,1100,1170,14.2,0.4,3.0,21.94,9.0,0.21,1.45,1.2,0.0,3.88,14.96,3.8,2.2,2.0,0.2
Adam Wharton,3,0,14,3,1095,1090,1100,15.2,0.4,2.8,19.34,9.2,0.19,1.26,1.2,0.0,4.02,15.84,4.2,2.2,5.0,0.0
Adam Wharton,9,0,15,3,1130,1140,1120,15.6,0.6,3.0,14.0,9.6,0.15,0.92,0.6,0.0,3.24,14.08,4.6,2.0,4.2,0.0
Adam Wharton,4,1,16,4,1250,1210,1290,19.8,0.6,3.2,15.04,10.6,0.19,0.86,0.6,0.0,3.78,18.12,5.6,1.8,4.4,0.0
Adam Wharton,3,0,17,3,1145,1100,1190,22.2,0.4,3.2,16.86,12.8,0.26,1.04,1.2,0.0,4.24,19.92,6.8,2.8,5.4,0.0
Adam Wharton,2,1,18,3,1165,1130,1200,19.4,0.2,3.0,14.16,13.0,0.31,1.21,2.0,0.0,4.16,18.0,6.8,3.2,9.2,0.2
Adam Wharton,2,1,19,3,1090,1080,1100,19.0,0.2,2.6,16.96,12.4,0.39,1.16,1.8,0.0,4.64,17.64,7.0,2.8,11.6,0.2
Adam Wharton,4,0,20,3,1220,1180,1260,19.2,0.0,2.8,16.3,12.2,0.36,1.47,2.0,0.0,4.76,18.68,6.4,3.0,12.4,0.2
Adam Wharton,3,1,21,3,1145,1150,1140,15.8,0.0,2.2,18.56,12.6,0.4,1.61,2.2,0.0,4.74,16.32,6.4,4.0,12.4,0.2
Adam Wharton,1,0,22,3,1145,1120,1170,15.8,0.2,2.2,23.3,11.4,0.44,1.72,1.6,0.0,5.42,18.08,5.4,3.8,12.6,0.2
Adam Wharton,-1,1,23,3,1180,1140,1220,14.0,0.2,1.8,21.46,11.0,0.35,1.53,1.2,0.0,4.46,14.6,5.4,3.8,8.4,0.2
Adama Traoré Diarra,2,0,9,3,1220,1180,1260,13.25,0.25,2.0,19.38,11.25,0.3,1.7,1.25,0.0,3.75,14.7,4.75,4.5,3.25,0.25
Adrien Truffert,0,0,1,4,1265,1210,1320,13.33,0.33,1.67,25.0,12.0,0.37,1.63,1.33,0.0,4.43,16.27,5.0,5.33,3.0,0.33
Adrien Truffert,6,1,2,3,1070,1050,1090,7.67,0.33,2.33,20.03,8.67,0.26,1.89,2.0,0.0,3.77,15.33,4.0,3.67,2.33,0.33
Adrien Truffert,7,0,3,3,1175,1150,1200,10.33,0.33,3.0,13.3,6.67,0.06,1.46,2.0,0.0,2.87,13.47,4.33,2.0,2.0,0.33
Adrien Truffert,2,1,4,3,1150,1090,1210,17.0,0.67,4.0,19.13,6.33,0.09,0.95,1.33,0.0,4.0,18.67,2.67,2.33,2.33,0.0
Adrien Truffert,9,1,5,3,1160,1170,1150,13.25,0.5,3.75,21.78,5.75,0.1,0.87,1.25,0.0,4.12,17.85,2.75,2.0,1.75,0.0
Adrien Truffert,3,0,6,3,1145,1100,1190,16.4,0.6,4.0,18.4,5.6,0.08,0.72,1.0,0.0,3.66,16.56,4.2,1.6,1.8,0.0
Adrien Truffert,5,1,7,3,1090,1080,1100,19.6,0.6,4.8,15.58,7.0,0.06,0.65,0.6,0.0,3.64,18.72,4.8,2.2,2.2,0.0
Adrien Truffert,1,0,8,3,1205,1150,1260,18.8,0.4,4.8,15.84,7.2,0.06,0.73,0.8,0.0,3.92,21.68,5.2,2.4,1.8,0.0
Adrien Truffert,10,1,9,3,1100,1100,1100,13.8,0.2,4.8,12.78,6.2,0.04,1.58,1.4,0.0,3.48,20.0,5.6,1.4,2.0,0.0
Adrien Truffert,2,0,10,4,1305,1230,1380,20.0,0.4,5.8,8.9,7.6,0.04,1.53,1.2,0.0,3.22,20.68,6.6,1.8,2.6,0.0
Adrien Truffert,0,0,11,3,1185,1170,1200,15.2,0.2,6.0,8.68,8.6,0.05,1.95,1.8,0.0,3.5,22.8,5.8,2.6,3.4,0.2
Adrien Truffert,0,1,12,3,1075,1050,1100,12.6,0.2,5.2,11.92,7.2,0.05,1.75,1.8,0.0,3.52,19.2,5.2,2.0,4.0,0.4
Adrien Truffert,1,0,13,3,1145,1120,1170,10.2,0.2,5.0,21.26,7.0,0.11,1.7,2.0,0.0,4.52,19.48,5.6,2.0,4.4,0.6
Adrien Truffert,4,1,14,3,1100,1110,1090,11.2,0.2,5.0,23.1,7.6,0.12,1.07,2.0,0.0,5.26,21.32,7.2,2.6,8.2,0.6
Adrien Truffert,6,1,15,3,1180,1140,1220,8.0,0.0,5.4,22.58,8.0,0.12,1.29,2.2,0.0,5.58,24.04,6.6,2.6,9.2,0.6
Adrien Truffert,0,0,16,3,1205,1150,1260,13.2,0.2,5.4,26.28,7.6,0.12,1.03,1.6,0.0,5.88,23.56,6.4,2.2,9.0,0.4
Adrien Truffert,5,1,17,3,1055,1010,1100,11.6,0.2,5.8,22.5,8.2,0.11,1.52,2.0,0.0,5.52,23.92,6.0,2.4,8.8,0.2
Adrien Truffert,1,0,18,3,1175,1110,1240,14.0,0.2,7.2,10.58,10.8,0.05,1.46,1.8,0.0,4.14,23.28,4.8,3.6,7.6,0.0
Adrien Truffert,3,0,19,3,1190,1160,1220,12.8,0.2,6.6,10.42,10.0,0.04,1.65,1.8,0.0,3.44,20.64,4.0,3.4,3.4,0.0
Adrien Truffert,1,1,20,5,1300,1340,1260,12.2,0.2,6.8,10.14,10.2,0.05,1.82,2.0,0.0,3.38,20.72,3.8,3.4,3.0,0.0
Adrien Truffert,1,1,21,3,1165,1130,1200,5.8,0.0,6.0,6.78,9.6,0.04,1.86,2.6,0.0,2.78,19.08,3.2,3.6,2.0,0.0
Adrien Truffert,4,0,22,3,1160,1110,1210,7.2,0.0,5.6,6.82,9.6,0.04,1.46,2.2,0.0,2.84,20.44,4.2,4.0,1.2,0.0
Adrien Truffert,3,1,23,4,1230,1170,1290,4.6,0.0,4.4,8.48,8.6,0.05,1.59,2.2,0.0,3.02,19.72,4.4,4.2,2.0,0.0
Adrien Truffert,6,0,24,3,1085,1050,1120,6.4,0.0,5.6,6.32,10.0,0.05,1.33,2.0,0.0,3.1,22.2,3.6,4.4,2.4,0.0
Alejandro Garnacho Ferreyra,2,1,7,4,1230,1170,1290,4.5,0.0,4.25,6.33,9.0,0.03,1.09,2.0,0.0,2.75,19.55,3.5,4.75,1.5,0.0
Alejandro Garnacho Ferreyra,1,0,8,3,1130,1110,1150,6.75,0.0,3.75,6.2,8.25,0.05,1.19,1.5,0.0,2.73,17.15,3.25,4.25,3.75,0.0
Alejandro Garnacho Ferreyra,6,1,9,3,1100,1100,1100,8.5,0.0,3.0,6.05,7.25,0.05,1.01,1.0,0.0,2.33,12.8,2.25,3.25,4.25,0.0
Alejandro Garnacho Ferreyra,3,0,10,3,1175,1150,1200,10.25,0.0,2.25,3.23,4.75,0.09,1.01,1.0,0.25,3.55,13.7,1.75,1.25,18.5,0.0
Alejandro Garnacho Ferreyra,11,1,11,3,1070,1050,1090,13.5,0.25,0.5,8.53,3.75,0.24,0.79,0.5,0.25,4.62,11.6,2.25,1.0,26.25,0.0
Alejandro Garnacho Ferreyra,3,0,15,3,1220,1240,1200,19.0,0.4,0.4,15.98,3.4,0.5,0.67,0.4,0.2,6.28,18.68,2.0,1.0,28.2,0.0
Alejandro Garnacho Ferreyra,3,1,16,3,1100,1110,1090,19.0,0.6,0.4,19.34,3.6,0.55,0.64,0.2,0.2,6.66,18.84,2.4,0.8,28.6,0.0
Alejandro Garnacho Ferreyra,1,0,17,3,1220,1180,1260,16.0,0.8,0.6,19.54,3.8,0.67,0.62,0.2,0.2,6.92,18.4,2.6,0.6,32.8,0.0
Alejandro Garnacho Ferreyra,2,1,18,3,1145,1150,1140,14.0,0.8,0.6,23.42,4.8,0.69,0.88,0.4,0.0,6.5,12.96,3.6,0.6,30.0,0.2
Alejandro Garnacho Ferreyra,4,1,19,3,1150,1100,1200,12.2,0.6,0.6,23.86,4.6,0.6,1.02,0.6,0.0,6.08,11.4,3.4,0.6,26.8,0.2
Alejandro Garnacho Ferreyra,1,1,22,3,1135,1100,1170,6.4,0.4,0.8,21.96,4.6,0.33,1.54,1.0,0.0,4.9,6.64,3.4,0.4,21.6,0.2
Alejandro Garnacho Ferreyra,1,1,24,3,1075,1050,1100,4.4,0.2,0.8,18.46,4.0,0.39,1.49,1.0,0.0,4.34,6.12,2.8,0.4,20.6,0.2
Alex Iwobi,2,0,1,3,1160,1110,1210,7.25,0.0,0.5,22.35,3.5,0.33,1.75,1.25,0.0,4.95,7.65,2.5,0.5,20.0,0.25
Alex Iwobi,7,1,2,3,1135,1100,1170,7.75,0.0,0.25,26.55,2.25,0.32,1.43,1.0,0.0,4.35,9.1,1.5,0.5,8.5,0.0
Alex Iwobi,1,0,3,3,1190,1160,1220,10.75,0.0,0.75,25.75,2.0,0.35,1.66,1.0,0.0,4.8,14.4,1.25,0.0,8.5,0.0
Alex Iwobi,3,1,4,3,1095,1080,1110,8.75,0.0,0.75,19.13,3.75,0.32,1.54,1.0,0.0,3.43,9.6,2.25,0.75,6.25,0.25
Alex Iwobi,13,1,5,3,1135,1100,1170,10.75,0.25,0.75,18.88,4.75,0.18,1.44,1.0,0.0,3.4,10.2,3.0,1.0,4.75,0.25
Alex Iwobi,2,0,6,3,1185,1170,1200,18.0,0.2,0.6,22.76,4.8,0.22,1.25,1.0,0.2,5.06,20.12,3.4,0.8,7.6,0.2
Alex Iwobi,2,0,7,3,1220,1240,1200,17.4,0.2,0.6,16.22,5.0,0.2,1.27,1.4,0.2,4.24,18.72,3.6,0.8,7.4,0.2
Alex Iwobi,4,1,8,5,1300,1340,1260,15.8,0.2,0.2,19.52,5.6,0.18,1.06,1.6,0.2,4.22,16.52,4.6,0.8,6.2,0.2
Alex Iwobi,1,0,9,3,1220,1180,1260,19.4,0.2,1.0,26.96,6.2,0.18,0.97,1.4,0.2,5.48,20.76,4.2,1.0,7.2,0.0
Alex Iwobi,3,1,10,3,1070,1050,1090,19.4,0.0,1.0,27.44,6.2,0.2,1.24,1.8,0.2,5.76,20.44,4.4,0.8,9.8,0.2
Alex Iwobi,2,0,11,3,1130,1130,1130,13.4,0.2,1.6,32.98,6.6,0.19,1.17,1.6,0.0,5.28,12.12,4.2,0.8,7.8,0.2
Alex Iwobi,3,1,12,3,1100,1100,1100,15.6,0.2,1.8,35.74,6.8,0.17,1.24,1.4,0.0,6.24,14.64,3.8,1.2,12.0,0.2
Alex Iwobi,2,0,13,3,1175,1150,1200,15.2,0.4,2.2,28.86,7.6,0.15,1.15,1.0,0.0,5.7,14.32,3.6,1.8,13.8,0.2
Alex Iwobi,7,1,14,4,1250,1210,1290,13.6,0.4,1.6,19.7,6.8,0.13,0.95,1.0,0.0,4.4,11.64,3.8,1.4,12.6,0.2
Alex Iwobi,2,1,15,3,1165,1150,1180,18.6,0.4,1.6,21.72,7.0,0.14,0.96,1.6,0.2,5.4,20.04,4.0,1.4,12.2,0.0
Alex Iwobi,2,0,16,3,1095,1090,1100,19.0,0.2,1.0,16.22,6.8,0.16,1.26,2.0,0.2,5.0,19.84,3.8,2.0,13.8,0.0
Alex Iwobi,2,1,23,3,1150,1090,1210,17.6,0.2,1.2,12.16,7.6,0.14,1.36,1.8,0.2,3.96,17.68,4.8,1.6,9.6,0.0
Alex Iwobi,2,0,24,3,1205,1150,1260,17.0,0.0,1.2,14.4,6.6,0.13,1.64,2.0,0.2,3.78,16.72,4.4,1.0,6.4,0.0
Alex Scott,2,0,1,4,1265,1210,1320,17.75,0.0,1.0,17.7,6.25,0.16,1.84,2.25,0.25,4.4,17.95,4.5,0.75,8.0,0.0
Alex Scott,2,1,2,3,1070,1050,1090,11.75,0.0,1.25,14.28,5.75,0.11,1.74,1.5,0.0,2.8,7.75,3.75,0.75,5.75,0.0
Alex Scott,3,0,3,3,1175,1150,1200,9.5,0.25,1.75,8.13,5.75,0.03,1.43,1.0,0.0,1.63,5.3,3.25,0.75,2.75,0.25
Alex Scott,9,1,4,3,1150,1090,1210,10.25,0.5,1.75,15.4,5.5,0.07,0.96,0.75,0.0,2.68,7.25,2.5,1.25,4.0,0.25
Alex Scott,3,1,5,3,1160,1170,1150,16.5,0.5,1.5,14.8,6.5,0.08,0.7,0.75,0.25,3.73,17.3,2.25,2.75,5.25,0.25
Alex Scott,4,1,7,3,1090,1080,1100,15.6,0.6,1.8,13.54,7.2,0.08,0.59,0.6,0.2,3.32,15.36,2.8,2.6,4.4,0.2
Alex Scott,2,0,8,3,1205,1150,1260,18.0,0.6,2.6,14.78,10.0,0.11,0.4,0.4,0.2,3.76,17.68,4.4,3.0,5.2,0.2
Alex Scott,3,1,9,3,1100,1100,1100,17.6,0.4,2.6,14.26,9.6,0.11,0.67,0.6,0.2,3.66,17.52,4.4,2.6,4.8,0.0
Alex Scott,5,0,10,4,1305,1230,1380,17.8,0.4,3.2,8.84,10.4,0.11,0.74,0.6,0.2,3.3,17.96,4.6,2.6,6.2,0.0
Alex Scott,2,0,11,3,1185,1170,1200,15.6,0.4,3.4,8.76,9.0,0.1,1.01,1.0,0.0,2.3,9.76,4.2,1.4,4.4,0.0
Alex Scott,1,1,12,3,1075,1050,1100,16.6,0.2,3.6,7.48,9.0,0.1,1.16,1.4,0.0,2.48,11.2,4.0,1.4,6.0,0.0
Alex Scott,0,0,13,3,1145,1120,1170,14.2,0.2,2.8,6.72,7.0,0.08,1.09,1.6,0.0,2.66,10.32,2.8,1.4,9.4,0.0
Alex Scott,4,1,14,3,1100,1110,1090,11.2,0.2,2.8,4.56,7.0,0.08,0.95,1.6,0.0,2.24,9.0,3.0,1.2,9.6,0.2
Alex Scott,5,1,15,3,1180,1140,1220,11.6,0.0,3.4,5.7,7.4,0.06,1.15,1.8,0.0,2.24,9.96,3.2,0.8,7.6,0.2
Alex Scott,5,0,18,3,1175,1110,1240,11.0,0.2,3.6,4.38,10.0,0.06,0.94,1.2,0.0,2.76,11.96,5.2,1.2,12.2,0.2
Alex Scott,2,0,19,3,1190,1160,1220,14.2,0.2,3.6,10.42,10.6,0.13,1.37,1.4,0.0,3.54,13.4,5.8,1.2,12.6,0.2
Alex Scott,2,1,20,5,1300,1340,1260,14.2,0.2,5.0,11.88,11.4,0.13,1.72,1.4,0.0,3.3,13.32,5.6,0.8,8.8,0.2
Alex Scott,4,1,21,3,1165,1130,1200,18.6,0.2,5.8,12.08,12.6,0.12,1.72,1.8,0.0,3.72,16.72,5.6,1.2,8.4,0.0
Alex Scott,4,0,22,3,1160,1110,1210,18.6,0.2,5.4,11.36,12.8,0.16,1.7,2.0,0.0,3.58,15.64,6.2,1.2,8.8,0.0
Alex Scott,5,1,23,4,1230,1170,1290,16.8,0.0,5.6,13.44,12.2,0.17,1.72,2.2,0.0,3.42,15.08,5.6,1.0,5.6,0.0
Alex Scott,13,0,24,3,1085,1050,1120,14.6,0.0,5.2,9.34,11.2,0.19,1.31,2.0,0.0,2.94,15.12,5.2,0.8,4.8,0.0
Alexis Mac Allister,5,1,1,3,1150,1100,1200,16.5,0.0,4.5,8.73,11.25,0.22,1.06,2.0,0.0,3.05,16.7,5.75,1.0,5.0,0.0
Alexis Mac Allister,3,1,3,5,1300,1340,1260,19.5,0.0,3.25,12.15,10.25,0.23,1.18,1.5,0.0,3.88,19.3,5.75,1.25,7.25,0.0
Alexis Mac Allister,1,0,4,3,1095,1090,1100,17.0,0.25,2.25,16.18,9.0,0.19,0.95,1.0,0.0,4.13,17.4,5.5,1.25,7.5,0.0
Alexis Mac Allister,2,1,5,3,1100,1110,1090,16.5,0.25,1.25,13.3,6.5,0.17,0.71,0.75,0.0,3.4,14.8,4.0,1.25,5.75,0.0
Alexis Mac Allister,2,0,6,3,1205,1150,1260,14.25,0.25,1.0,11.3,6.25,0.08,0.65,0.5,0.0,2.7,10.4,4.0,1.25,5.25,0.0
Alexis Mac Allister,2,0,7,3,1190,1160,1220,14.2,0.2,1.2,11.74,5.8,0.08,0.93,0.6,0.0,2.6,9.68,3.6,1.0,4.6,0.0
Alexis Mac Allister,2,1,8,3,1135,1100,1170,11.6,0.2,1.4,11.48,6.2,0.08,0.69,0.6,0.0,2.04,6.16,4.0,0.8,2.8,0.0
Alexis Mac Allister,6,1,10,3,1145,1150,1140,11.2,0.0,1.0,7.58,4.6,0.08,0.76,0.8,0.0,1.68,5.4,2.8,0.8,4.0,0.0
Alexis Mac Allister,1,0,11,4,1305,1230,1380,13.8,0.2,1.4,13.8,5.0,0.12,0.82,0.8,0.0,2.94,10.68,2.6,1.0,5.0,0.0
Alexis Mac Allister,2,1,12,3,1100,1100,1100,12.8,0.2,1.8,14.72,4.8,0.09,0.96,1.2,0.0,2.86,9.8,2.2,0.8,4.0,0.2
Alexis Mac Allister,3,0,13,3,1075,1050,1100,11.8,0.2,1.6,16.16,5.0,0.23,0.86,1.6,0.0,3.92,11.64,2.4,1.0,11.2,0.2
Alexis Mac Allister,2,1,14,3,1100,1100,1100,12.0,0.4,1.4,13.84,5.0,0.23,0.87,1.4,0.0,3.98,13.64,2.6,1.0,12.2,0.2
Alexis Mac Allister,3,1,16,3,1150,1090,1210,13.8,0.4,2.2,14.66,6.8,0.23,0.77,1.4,0.0,4.08,14.88,3.2,1.4,11.0,0.2
Alexis Mac Allister,1,0,17,3,1175,1150,1200,11.4,0.4,2.2,8.34,6.8,0.22,1.07,1.4,0.0,3.14,10.72,3.4,1.2,12.2,0.2
Alexis Mac Allister,2,1,18,3,1070,1050,1090,10.4,0.4,2.0,8.18,6.2,0.25,1.01,1.0,0.0,3.52,11.44,3.0,1.2,15.6,0.2
Alexis Mac Allister,2,0,20,3,1130,1140,1120,11.8,0.4,2.2,13.2,6.4,0.15,0.91,0.6,0.0,3.72,11.24,2.8,1.4,12.8,0.2
Alexis Mac Allister,2,0,21,5,1375,1400,1350,10.6,0.2,2.4,14.4,6.2,0.16,1.0,1.0,0.0,3.64,8.68,2.6,1.2,13.4,0.2
Alexis Mac Allister,1,0,23,3,1220,1240,1200,10.0,0.4,2.2,18.54,6.0,0.14,1.07,0.8,0.0,4.02,9.44,2.8,1.0,12.4,0.4
Alexis Mac Allister,1,1,24,3,1160,1170,1150,9.4,0.2,2.4,18.46,6.2,0.11,0.82,1.2,0.0,3.88,9.96,2.6,1.2,10.6,0.4
Amad Diallo,1,0,2,3,1130,1140,1120,11.0,0.25,2.5,21.18,7.0,0.1,0.76,1.25,0.0,4.15,11.5,3.0,1.5,9.0,0.25
Amad Diallo,5,1,3,3,1055,1010,1100,8.75,0.25,2.5,10.58,7.0,0.08,0.71,1.0,0.0,2.95,10.6,3.0,1.5,8.5,0.25
Amad Diallo,2,0,4,4,1305,1230,1380,12.5,0.25,2.5,15.33,7.75,0.23,0.82,1.0,0.0,4.23,12.7,3.75,1.5,14.25,0.25
Amad Diallo,2,1,5,3,1180,1140,1220,14.0,0.0,2.0,15.38,7.0,0.39,1.31,1.75,0.0,4.4,12.2,3.25,1.75,16.5,0.0
Amad Diallo,3,1,7,3,1100,1100,1100,14.0,0.0,2.0,16.4,8.25,0.48,1.26,1.5,0.0,4.7,11.6,4.5,1.75,19.0,0.0
Amad Diallo,3,0,8,4,1265,1210,1320,15.4,0.2,2.0,20.02,8.6,0.53,1.15,1.2,0.0,5.42,12.96,4.8,1.8,21.2,0.0
Amad Diallo,3,1,9,3,1150,1090,1210,17.0,0.2,2.0,24.38,8.8,0.54,1.16,1.2,0.0,5.68,15.24,5.2,1.6,17.2,0.2
Amad Diallo,9,0,10,3,1130,1110,1150,14.4,0.4,1.8,20.04,7.8,0.4,1.04,0.8,0.0,4.48,12.6,4.6,1.4,12.2,0.2
